"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-05","11.63",,"0.41","2.4","1.2","33","34","28","  350","  350","21.0","28.0","    1",,,"    1",,"    1",,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-06","7.38",,"0.00","0.0","2.0","31","41","28","  310","  320","15.0","19.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-07","3.80",,"0.00","0.0","0.0","36","52","27","  300","  290","15.0","19.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-08","7.16",,"0.00","0.0","0.0","39","57","26","  170","  160","19.9","27.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-09","15.66",,"0.06","0.0","0.0","55","65","39","  170","  170","29.1","40.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-10","10.51",,"0.04","0.0","0.0","40","44","31","  350","  350","19.9","25.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-11","7.61",,"0.00","0.0","0.0","41","47","36","   20","   20","17.0","23.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-12","7.61",,"0.46","0.0","0.0","40","42","37","  320","  330","16.1","21.9","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-13","13.87",,"0.00","0.0","0.0","31","38","19","  340","  360","25.9","34.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-14","8.50",,"0.00","0.0","0.0","24","42","15","  170","  170","18.1","25.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-15","12.97",,"0.00","0.0","0.0","44","59","35","  170","  160","25.9","36.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-16","4.92",,"0.00","0.0","0.0","48","57","37","  130","  170","12.1","15.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-17","7.83",,"0.00","0.0","0.0","58","68","46","  350","  160","19.9","25.9","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-18","12.30",,"0.00","0.0","0.0","45","49","35","   10","  350","21.0","32.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-19","7.83",,"0.00","0.0","0.0","40","56","27","   40","   40","16.1","23.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-20","13.65",,"0.00","0.0","0.0","40","44","22","  350","   10","21.9","30.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-21","5.37",,"0.00","0.0","0.0","30","46","18","  170","  190","12.1","16.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-22","12.75",,"0.00","0.0","0.0","42","59","32","  170","  180","21.9","29.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-23","9.62",,"0.19","0.0","0.0","50","52","46","  140","  140","15.0","21.0","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-24","11.86",,"0.03","0.0","0.0","51","56","45","  190","  210","23.0","33.1","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-25","8.50",,"0.17","0.0","0.0","44","52","35","  290","  290","18.1","23.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-26","12.30",,"0.00","0.0","0.0","37","43","28","  330","  340","23.0","33.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-27","8.28",,"0.00","0.0","0.0","38","58","23","  310","  310","25.9","35.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-28","7.16",,"0.00","0.0","0.0","47","65","31","  280","  280","23.9","32.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-02-29","9.40",,"0.00","0.0","0.0","51","73","31","  170","  180","23.0","32.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-01","15.43",,"0.00","0.0","0.0","64","74","56","  180","  200","25.1","36.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-02","7.61",,"0.00","0.0","0.0","56","62","45","  340","  350","18.1","25.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-03","3.36",,"0.00","0.0","0.0","50","67","38","   30","   70","12.1","16.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-04","4.70",,"0.00","0.0","0.0","51","60","39","   20","   20","15.0","23.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-05","9.17",,"0.00","0.0","0.0","50","68","30","  320","  310","25.9","36.9",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-06","5.37",,"0.00","0.0","0.0","47","62","32","   80","   50","10.1","15.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-07","12.75",,"0.00","0.0","0.0","51","69","34","  170","  200","25.1","35.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-08","17.45",,"0.02","0.0","0.0","56","65","47","  190","  180","31.1","42.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-09","16.55",,"0.20","0.0","0.0","61","76","45","  300","  290","33.1","42.1","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-10","6.93",,"0.00","0.0","0.0","49","66","42","  170","   10","14.1","19.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-11","7.61",,"0.00","0.0","0.0","63","77","57","   10","   20","31.1","42.9",,,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-12","14.32",,"0.00","0.0","0.0","70","83","56","  270","  260","25.1","33.1",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-13","13.42",,"0.02","0.0","0.0","54","56","44","   40","   40","21.9","30.0",,,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-14","8.95",,"0.96","0.0","0.0","46","51","41","  300","   10","18.1","25.1","    1",,"    1",,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-15","8.28",,"0.00","0.0","0.0","45","49","42","   40","   40","14.1","19.0","    1",,,,,,,,
"USW00013968","TULSA INTERNATIONAL AIRPORT, OK US","2020-03-16","5.59",,"0.27","0.0","0.0","47","50","46","   60","   60","15.0","19.0","    1",,"    1",,"    1",,,,
