"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-07-27",,,"0.02","0.0","0.0","83","66","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-07-28",,,"0.36","0.0","0.0","84","63","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-07-29",,,"0.11","0.0","0.0","83","64","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-07-30",,,"0.33","0.0","0.0","80","63","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-07-31",,,"0.00","0.0","0.0","83","60","71"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-01",,,"0.04","0.0","0.0","82","62","62"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-02",,,"0.00","0.0","0.0","84","55","68"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-03",,,"0.00","0.0","0.0","96","68","80"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-04",,,"0.00","0.0","0.0","97","72","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-05",,,"0.00","0.0","0.0","91","73","76"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-06",,,"0.00","0.0","0.0","80","70","72"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-07",,,"0.00","0.0","0.0","95","71","81"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-08",,,"0.00","0.0","0.0","94","77","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-09",,,"0.00","0.0","0.0","94","74","77"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-10",,,"0.68","0.0","0.0","93","68","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-11",,,"0.00","0.0","0.0","88","65","73"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-12",,,"0.00","0.0","0.0","88","65","70"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-13",,,"0.00","0.0","0.0","87","63","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-14",,,"0.00","0.0","0.0","87","64","72"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-15",,,"0.18","0.0","0.0","89","70","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-16",,,"0.08","0.0","0.0","93","75","78"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-17",,,"1.87","0.0","0.0","82","65","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-18",,,"0.78","0.0","0.0","78","64","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-19",,,"0.66","0.0","0.0","83","65","74"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-20",,,"0.00","0.0","0.0","81","64","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-21",,,"0.00","0.0","0.0","83","58","61"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-22",,,"0.00","0.0","0.0","81","56","60"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-23",,,"0.00","0.0","0.0","84","59","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-24",,,"0.00","0.0","0.0","86","66","71"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-25",,,"0.00","0.0","0.0","89","68","74"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-26",,,"0.04","0.0","0.0","88","69","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-27",,,"0.00","0.0","0.0","78","64","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-28",,,"0.01","0.0","0.0","82","59","63"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-29",,,"0.01","0.0","0.0","80","59","59"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-30",,,"0.00","0.0","0.0","75","53","53"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-08-31",,,"0.00","0.0","0.0","73","51","56"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-01",,,"0.00","0.0","0.0","78","56","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-02",,,"0.00","0.0","0.0","80","63","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-03",,,"0.00","0.0","0.0","81","60","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-04",,,"0.04","0.0","0.0","82","63","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-05",,,"0.00","0.0","0.0","77","62","63"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-06",,,"0.01","0.0","0.0","81","60","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-07",,,"0.00","0.0","0.0","88","62","72"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-08",,,"0.27","0.0","0.0","83","67","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-09",,,"0.24","0.0","0.0","80","66","67"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-10",,,"0.00","0.0","0.0","76","67","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-11",,,"0.20","0.0","0.0","81","68","70"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-12",,,"0.00","0.0","0.0","81","66","70"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-13",,,"0.00","0.0","0.0","75","65","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-14",,,"0.01","0.0","0.0","77","63","65"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-15",,,"0.00","0.0","0.0","75","62","69"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-16",,,"0.00","0.0","0.0","79","66","68"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-17",,,"0.00","0.0","0.0","80","62","62"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-18",,,"0.00","0.0","0.0","80","59","64"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-19",,,"0.00","0.0","0.0","81","60","60"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-20",,,"0.00","0.0","0.0","82","56","68"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-21",,,"0.04","0.0","0.0","81","61","61"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-22",,,"0.06","0.0","0.0","69","51","52"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-23",,,"0.00","0.0","0.0","69","43","51"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-24",,,"0.00","0.0","0.0","71","48","52"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-25",,,"0.02","0.0","0.0","79","50","57"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-26",,,"0.01","0.0","0.0","80","48","56"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-27",,,"0.00","0.0","0.0","95","56","61"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-28",,,"0.00","0.0","0.0","73","45","46"
"USC00346282","NEWKIRK 8 E MESONET, OK US","2009-09-29",,,"0.00","0.0","0.0","75","45","51"
